Date,Open,High,Low,Close,Volume,MA20,MA50,RSI,MACD,MACD_Signal,MACD_Histogram,ATR,Price_Change_1d,Price_Change_5d,Price_Change_10d,Volume_Change,Volume_MA20,Volume_Ratio
2021-06-13,39097.859375,39322.78125,34864.109375,35555.7890625,40669112838,36702.0576171875,,52.45261274890707,-2381.4700036745708,-3012.9201088745735,631.4501052000028,3333.1554129464284,-4.7786517463976885,5.8538185680824695,-5.435247747923244,7.237811797229021,41507990797.8,0.9797899646868847
2021-06-14,40218.4765625,40978.36328125,38757.28515625,39016.96875,43148914673,36713.1169921875,,57.72248825832265,-1999.85003254185,-2810.306093608029,810.4560610661792,3490.031808035714,9.73450394087989,16.757925951278985,-0.5746721406447608,6.097506589037138,40854840741.3,1.0561518265663175
2021-06-15,40406.26953125,41295.26953125,39609.46875,40427.16796875,46420149185,36814.844140625,,57.280442397169956,-1565.575188334813,-2561.359912553386,995.784724218573,3492.900390625,3.614322854719454,8.124342594368649,9.617669986823874,7.581267192444452,40608511442.55,1.1431137841797496
2021-06-16,38347.0625,40516.77734375,38176.03515625,40168.69140625,39211635100,36857.4341796875,,58.187343434073355,-1228.1092648012636,-2294.709783002962,1066.6005182016984,3498.3083147321427,-0.6393635158906008,9.460329726944883,13.028315155480108,-15.528847303509586,40408544761.5,0.9703797880234386
2021-06-17,38053.50390625,39513.671875,37439.67578125,38341.421875,37096670047,36849.151171875,,51.67788554710348,-1095.4824295991857,-2054.864312322207,959.3818827230211,3494.735770089286,-4.548989442473317,2.68150366400437,6.993547295632752,-5.393718082926869,39503368666.25,0.9390761167842837
2021-06-18,35787.24609375,38187.26171875,35255.85546875,38099.4765625,36200887275,36969.9171875,,47.24049569037873,-998.3888664967162,-1843.5692231571088,845.1803566603926,3463.364676339286,-0.6310285343323563,7.154074110206654,13.426679196926772,-2.414725555865471,39051862363.25,0.9269951568063262
2021-06-19,35615.87109375,36457.796875,34933.0625,35854.52734375,31207279719,37032.2732421875,,47.509763726265504,-1090.0250283366986,-1692.860384193027,602.8353558563283,3379.389229910714,-5.8923361192831365,-8.105297534806565,7.294348657458682,-13.79415791128562,39029922303.15,0.7995731960881035
2021-06-20,35698.296875,36059.484375,33432.07421875,35563.140625,36664034054,37027.5005859375,,50.06276274403514,-1172.6423289567829,-1588.8167731457784,416.1744441889955,3454.520089285714,-0.8126915632058807,-12.031580712034707,-4.8847249542297355,17.485517430978614,38912631623.9,0.9422141994498537
2021-06-21,31676.693359375,35721.640625,31295.935546875,35641.14453125,52809038594,36944.8681640625,42418.62625,49.497725183763144,-1217.7850041126076,-1514.6104193391443,296.82541522653673,3534.218331473214,0.21933919468057894,-11.271332763146823,-2.877308280216806,44.0349922112256,39821112388.75,1.3261567903592584
2021-06-22,32505.66015625,33292.453125,28893.62109375,31622.376953125,58964353058,36690.99091796875,41918.6683203125,45.337908878477634,-1559.8607529413785,-1523.6604860595912,-36.20026688178723,3678.9827008928573,-11.275641203388865,-17.524245563402175,-15.312655186269552,11.65579724206407,41115786682.15,1.4341049464486781
2021-06-23,33723.02734375,34753.41015625,31772.6328125,32515.71484375,46317108925,36436.80615234375,41424.6990234375,47.93459208903196,-1738.8292058720035,-1566.6942300220737,-172.1349758499298,3541.091796875,2.825018157076631,-14.655743917085474,-8.550152588109228,-21.448966158518857,41658604607.05,1.1118257407297225
2021-06-24,34662.4375,35228.8515625,32385.21484375,33682.80078125,33123368116,36158.82197265625,41033.3117578125,40.25192851598471,-1766.1300647963144,-1606.581396976922,-159.54866781939245,3392.9695870535716,3.5892981074175268,-6.057049760212685,-13.671405390122725,-28.485674333353263,41223218503.5,0.8035124213600087
2021-06-25,31637.779296875,35487.24609375,31350.884765625,34659.10546875,40230904226,36047.76943359375,40577.6676953125,44.71940770934955,-1689.5109328732433,-1623.1673041561862,-66.34362871705707,3576.6921037946427,2.8985258495590305,-2.5420565798243477,-14.26778770271191,21.457769889550438,41436790044.85,0.9708981844987321
2021-06-26,32186.27734375,32637.587890625,30184.501953125,31594.6640625,38585385521,35850.57216796875,40081.2819140625,36.77235701289199,-1854.6848769321077,-1669.4708187113706,-185.21405822073712,3704.825613839286,-8.841663293973411,-11.353396536416117,-21.345050196023895,-4.090185733226825,41920387291.65,0.9204443950518012
2021-06-27,34649.64453125,34656.12890625,32071.7578125,32287.5234375,35511640894,35673.18505859375,39579.9770703125,42.07739547060598,-1907.687818836559,-1717.1142187364085,-190.57360010015054,3605.0251116071427,2.1929632599650306,2.1034044510979344,-15.789446873506174,-7.9660850487735075,42011772503.2,0.8452783298132711
2021-06-28,34434.3359375,35219.890625,33902.07421875,34679.12109375,33892523752,35727.66513671875,39096.0116796875,38.909518753235794,-1736.691589131071,-1721.0296928153411,-15.661896315729791,3427.1531808035716,7.407188293272138,6.65341746412762,-8.977434278235041,-4.559398274027837,41211296168.7,0.8224085846089304
